Date,Open,High,Low,Close,Adj Close,Volume
2019-03-18,46.450001,47.097500,46.447498,47.005001,45.768784,104879200
2019-03-19,47.087502,47.247501,46.480000,46.632500,45.406078,126585600
2019-03-20,46.557499,47.372501,46.182499,47.040001,45.802860,124140800
2019-03-21,47.505001,49.082500,47.452499,48.772499,47.489803,204136800
2019-03-22,48.834999,49.422501,47.695000,47.762501,46.506359,169630800
2019-03-25,47.877499,47.994999,46.650002,47.185001,45.944050,175381200
2019-03-26,47.915001,48.220001,46.145000,46.697498,45.469372,199202000
2019-03-27,47.187500,47.439999,46.637501,47.117500,45.878323,119393600
2019-03-28,47.237499,47.389999,46.882500,47.180000,45.939175,83121600
2019-03-29,47.457500,47.520000,47.134998,47.487499,46.238598,94256000
2019-04-01,47.910000,47.919998,47.095001,47.810001,46.552616,111448000
2019-04-02,47.772499,48.615002,47.762501,48.505001,47.229332,91062800
2019-04-03,48.312500,49.125000,48.287498,48.837502,47.553097,93087200
2019-04-04,48.697498,49.092499,48.285000,48.922501,47.635857,76457200
2019-04-05,49.112499,49.275002,48.982498,49.250000,47.954739,74106400
2019-04-08,49.105000,50.057499,49.084999,50.025002,48.709362,103526800
2019-04-09,50.080002,50.712502,49.807499,49.875000,48.563305,143072800
2019-04-10,49.669998,50.185001,49.544998,50.154999,48.835941,86781200
2019-04-11,50.212502,50.250000,49.610001,49.737499,48.429424,83603200
2019-04-12,49.799999,50.035000,49.052502,49.717499,48.409950,111042800
2019-04-15,49.645000,49.962502,49.502499,49.807499,48.497578,70146400
2019-04-16,49.865002,50.342499,49.639999,49.812500,48.502449,102785600
2019-04-17,49.884998,50.845001,49.652500,50.782501,49.446938,115627200
2019-04-18,50.779999,51.037498,50.630001,50.965000,49.624638,96783200
2019-04-22,50.707500,51.235001,50.584999,51.132500,49.787735,77758000
2019-04-23,51.107498,51.937500,50.974998,51.869999,50.505836,93292000
2019-04-24,51.840000,52.119999,51.762501,51.790001,50.427940,70162400
2019-04-25,51.707500,51.939999,51.279999,51.320000,49.970299,74172800
2019-04-26,51.224998,51.250000,50.529999,51.075001,49.731743,74596400
2019-04-29,51.099998,51.492500,50.965000,51.152500,49.807209,88818800
2019-04-30,50.764999,50.849998,49.777500,50.167500,48.848114,186139600
